Date,Time,FTP,Open,Close,Volume,Bid
06-01-2020,14:21:44,1500.05,1520,1537.15,9125751,1499.2
06-01-2020,14:21:50,1500.75,1520,1537.15,9126794,1500.25
06-01-2020,14:21:55,1500.75,1520,1537.15,9128368,1500.25
06-01-2020,14:21:59,1500.25,1520,1537.15,9129919,1500.25
06-01-2020,14:22:06,1500.3,1520,1537.15,9132711,1500.25
06-01-2020,14:22:11,1500.65,1520,1537.15,9136832,1500.25
06-01-2020,14:22:17,1500.3,1520,1537.15,9137321,1500.25
06-01-2020,14:22:22,1500.6,1520,1537.15,9139327,1500.25
06-01-2020,14:22:29,1500.6,1520,1537.15,9139940,1500.25
06-01-2020,14:22:35,1500.95,1520,1537.15,9142474,1500.65
06-01-2020,14:22:40,1500.4,1520,1537.15,9143979,1500.65
06-01-2020,14:22:45,1500.5,1520,1537.15,9145353,1500.65
06-01-2020,14:22:51,1500.9,1520,1537.15,9146660,1500.65
06-01-2020,14:22:57,1500.7,1520,1537.15,9148820,1500.65
06-01-2020,14:23:03,1500.6,1520,1537.15,9150091,1500.65
06-01-2020,14:23:11,1500.5,1520,1537.15,9153233,1500.65
06-01-2020,14:23:17,1500.5,1520,1537.15,9155886,1500.65
06-01-2020,14:23:23,1500.2,1520,1537.15,9157829,1500.2
06-01-2020,14:23:30,1500.05,1520,1537.15,9159384,1500.2
06-01-2020,14:23:37,1500.05,1520,1537.15,9165557,1500.2
06-01-2020,14:23:44,1500.05,1520,1537.15,9168000,1500.2
06-01-2020,14:23:53,1500.5,1520,1537.15,9171724,1500.2
06-01-2020,14:23:59,1500.15,1520,1537.15,9175872,1500.2
06-01-2020,14:24:04,1500.3,1520,1537.15,9177246,1500.2
06-01-2020,14:24:09,1500.15,1520,1537.15,9177767,1500.15
06-01-2020,14:24:13,1500.15,1520,1537.15,9179785,1500.15
06-01-2020,14:24:22,1500.15,1520,1537.15,9180368,1500.15
06-01-2020,14:24:28,1499.3,1520,1537.15,9185774,1500.15
06-01-2020,14:24:33,1499.5,1520,1537.15,9186403,1500.15
06-01-2020,14:24:39,1499.5,1520,1537.15,9187360,1500.15
06-01-2020,14:24:45,1499.55,1520,1537.15,9189033,1500.15
06-01-2020,14:24:51,1499.8,1520,1537.15,9193315,1500.15
06-01-2020,14:24:57,1499.75,1520,1537.15,9195045,1499.75
06-01-2020,14:25:04,1500,1520,1537.15,9196115,1499.75
06-01-2020,14:25:08,1499.95,1520,1537.15,9196902,1499.75
06-01-2020,14:25:15,1500,1520,1537.15,9198935,1499.75
06-01-2020,14:25:19,1499.95,1520,1537.15,9200534,1499.75
06-01-2020,14:25:24,1500,1520,1537.15,9201489,1499.75
06-01-2020,14:25:30,1500,1520,1537.15,9206660,1499.75
06-01-2020,14:25:35,1500,1520,1537.15,9210937,1499.75
06-01-2020,14:25:41,1500,1520,1537.15,9213275,1499.75
06-01-2020,14:25:47,1499.95,1520,1537.15,9216382,1499.75
06-01-2020,14:25:51,1500,1520,1537.15,9219344,1499.75
06-01-2020,14:25:55,1500,1520,1537.15,9222187,1500
06-01-2020,14:26:00,1500.05,1520,1537.15,9224804,1500
06-01-2020,14:26:04,1500.05,1520,1537.15,9228351,1500
06-01-2020,14:26:08,1500.6,1520,1537.15,9229888,1500
06-01-2020,14:26:12,1500.5,1520,1537.15,9230505,1500
06-01-2020,14:26:16,1500.7,1520,1537.15,9232298,1500
06-01-2020,14:26:20,1500.7,1520,1537.15,9236483,1500
06-01-2020,14:26:24,1500.7,1520,1537.15,9238729,1500
06-01-2020,14:26:28,1501,1520,1537.15,9240003,1500
06-01-2020,14:26:32,1500.65,1520,1537.15,9240508,1500
06-01-2020,14:26:37,1500.1,1520,1537.15,9244089,1500
